Data;Temperatura
27/09/2016;16,18
28/09/2016;18,72
29/09/2016;18,58
30/09/2016;16,64
01/10/2016;16,3
02/10/2016;18,26
03/10/2016;16,74
04/10/2016;17,82
05/10/2016;17,08
06/10/2016;18,34
07/10/2016;16,5
08/10/2016;19,94
09/10/2016;18,94
10/10/2016;17,72
11/10/2016;18,34
12/10/2016;21,36
13/10/2016;21,1
14/10/2016;21,74
15/10/2016;22,28
16/10/2016;25,48
17/10/2016;25,4
18/10/2016;25,76
19/10/2016;28,32
20/10/2016;24,7
21/10/2016;19,98
22/10/2016;18,46
23/10/2016;21,42
24/10/2016;22,96
25/10/2016;20,94
26/10/2016;24,16
27/10/2016;22,02
28/10/2016;17,16
29/10/2016;16,84
30/10/2016;18,04
31/10/2016;21,34
01/11/2016;24,28
02/11/2016;24,94
03/11/2016;18,62
04/11/2016;17,16
05/11/2016;17,76
06/11/2016;20,2
07/11/2016;21,04
08/11/2016;21,78
09/11/2016;21,68
10/11/2016;23,18
11/11/2016;24,94
12/11/2016;19,54
13/11/2016;17,86
14/11/2016;18,86
15/11/2016;19,94
16/11/2016;21,12
17/11/2016;22,84
18/11/2016;16,44
19/11/2016;15,5
20/11/2016;17,46
21/11/2016;21,58
22/11/2016;20,68
23/11/2016;20,58
24/11/2016;21,68
25/11/2016;22,4
26/11/2016;22,94
27/11/2016;24,08
28/11/2016;25,18
29/11/2016;19,5
30/11/2016;16,74
01/12/2016;18,56
02/12/2016;21,14
03/12/2016;22,22
04/12/2016;21,68
05/12/2016;20,2
06/12/2016;23,06
07/12/2016;23,86
08/12/2016;24,7
09/12/2016;23,72
10/12/2016;24,28
11/12/2016;23,84
12/12/2016;21,74
13/12/2016;25,56
14/12/2016;22,18
15/12/2016;16,64
16/12/2016;18,26
17/12/2016;21,34
18/12/2016;21,76
19/12/2016;21,8
20/12/2016;22,74
21/12/2016;22,86
22/12/2016;24,32
23/12/2016;24,16
24/12/2016;25,52
25/12/2016;25,32
26/12/2016;28,4
27/12/2016;27,7
28/12/2016;26,48
29/12/2016;26,32
30/12/2016;25,64
31/12/2016;26,9
